danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.546,0.249,1,-12.787,0,0.22,0.816,0.00733,0.0678,0.96,135.579,audio_features,1ppL3Tjizx9C6Vhd1TiIW0,spotify:track:1ppL3Tjizx9C6Vhd1TiIW0,https://api.spotify.com/v1/tracks/1ppL3Tjizx9C6Vhd1TiIW0,https://api.spotify.com/v1/audio-analysis/1ppL3Tjizx9C6Vhd1TiIW0,64411,5
0.575,0.395,2,-11.921,0,0.0418,0.857,0.00787,0.0993,0.284,84.922,audio_features,17pJWWBWy7WXSnGa58DIZy,spotify:track:17pJWWBWy7WXSnGa58DIZy,https://api.spotify.com/v1/tracks/17pJWWBWy7WXSnGa58DIZy,https://api.spotify.com/v1/audio-analysis/17pJWWBWy7WXSnGa58DIZy,339261,4
0.658,0.619,9,-7.316,0,0.0772,0.788,0.0667,0.0951,0.354,136.077,audio_features,1VAKnb1btGrQXcVZVSRkPe,spotify:track:1VAKnb1btGrQXcVZVSRkPe,https://api.spotify.com/v1/tracks/1VAKnb1btGrQXcVZVSRkPe,https://api.spotify.com/v1/audio-analysis/1VAKnb1btGrQXcVZVSRkPe,204706,4
0.602,0.344,7,-7.89,1,0.149,0.513,0.0,0.133,0.315,137.702,audio_features,7tzeZLMnqlke2raEMeDZ9S,spotify:track:7tzeZLMnqlke2raEMeDZ9S,https://api.spotify.com/v1/tracks/7tzeZLMnqlke2raEMeDZ9S,https://api.spotify.com/v1/audio-analysis/7tzeZLMnqlke2raEMeDZ9S,185667,3
0.716,0.543,9,-6.867,0,0.0579,0.292,0.00111,0.407,0.509,140.049,audio_features,3bBJwS2VX6G0L4wnOtrYUS,spotify:track:3bBJwS2VX6G0L4wnOtrYUS,https://api.spotify.com/v1/tracks/3bBJwS2VX6G0L4wnOtrYUS,https://api.spotify.com/v1/audio-analysis/3bBJwS2VX6G0L4wnOtrYUS,152914,4
0.295,0.303,8,-15.467,1,0.0338,0.647,0.00175,0.114,0.118,188.489,audio_features,0eZIruGPz5ShB4yKweh0dr,spotify:track:0eZIruGPz5ShB4yKweh0dr,https://api.spotify.com/v1/tracks/0eZIruGPz5ShB4yKweh0dr,https://api.spotify.com/v1/audio-analysis/0eZIruGPz5ShB4yKweh0dr,173377,4
0.617,0.552,4,-10.398,0,0.0421,0.113,0.734,0.11,0.179,89.982,audio_features,335VUizsNIDcY0cNEe1y3K,spotify:track:335VUizsNIDcY0cNEe1y3K,https://api.spotify.com/v1/tracks/335VUizsNIDcY0cNEe1y3K,https://api.spotify.com/v1/audio-analysis/335VUizsNIDcY0cNEe1y3K,338729,4
0.563,0.367,6,-10.258,1,0.0971,0.608,0.00148,0.13,0.373,89.986,audio_features,3ZhJM8BNznUtuQsMFu2TV4,spotify:track:3ZhJM8BNznUtuQsMFu2TV4,https://api.spotify.com/v1/tracks/3ZhJM8BNznUtuQsMFu2TV4,https://api.spotify.com/v1/audio-analysis/3ZhJM8BNznUtuQsMFu2TV4,196006,4
0.367,0.142,6,-12.717,0,0.0319,0.913,0.00367,0.107,0.1,69.827,audio_features,3FImu2LpSuH6gDHBuFgIbS,spotify:track:3FImu2LpSuH6gDHBuFgIbS,https://api.spotify.com/v1/tracks/3FImu2LpSuH6gDHBuFgIbS,https://api.spotify.com/v1/audio-analysis/3FImu2LpSuH6gDHBuFgIbS,189463,4
0.731,0.423,6,-10.147,1,0.0784,0.473,0.000413,0.129,0.78,76.964,audio_features,0wOtc2nY3NOohp4xSwOyTN,spotify:track:0wOtc2nY3NOohp4xSwOyTN,https://api.spotify.com/v1/tracks/0wOtc2nY3NOohp4xSwOyTN,https://api.spotify.com/v1/audio-analysis/0wOtc2nY3NOohp4xSwOyTN,90111,4
0.678,0.339,10,-11.187,0,0.0934,0.823,0.921,0.167,0.478,74.009,audio_features,0FTpFi1BlqoBVELlh7jK50,spotify:track:0FTpFi1BlqoBVELlh7jK50,https://api.spotify.com/v1/tracks/0FTpFi1BlqoBVELlh7jK50,https://api.spotify.com/v1/audio-analysis/0FTpFi1BlqoBVELlh7jK50,59836,3
